loan_id,user_id,amount,income,purpose,application_date,status,remarks
L0307,U0083,94755,5050,Medical,2025-04-25,declined,Auto-declined. Risk Score: 98%
L0308,U0089,98596,5524,Home,2025-01-27,approved,Auto-approved. Risk Score: 14%
L0309,U0133,58844,24630,Car,2025-03-23,approved,Auto-approved. Risk Score: 19%
L0310,U0045,61399,19634,Medical,2025-06-07,declined,Auto-declined. Risk Score: 77%
L0311,U0038,66255,24535,Medical,2025-04-21,declined,Auto-declined. Risk Score: 84%
L0312,U0067,26175,13083,Car,2025-05-28,approved,Auto-approved. Risk Score: 22%
L0313,U0063,93590,2784,Car,2025-06-24,declined,Auto-declined. Risk Score: 62%
L0314,U0072,81185,21753,Business,2025-06-24,approved,Auto-approved. Risk Score: 26%
L0315,U0040,84971,18985,Home,2025-06-24,declined,Auto-declined. Risk Score: 61%
L0316,U0061,6349,28804,Business,2025-02-25,pending,Average Risk. Risk Score: 42%. Awaiting review.
L0317,U0123,11006,18154,Business,2025-05-10,approved,Auto-approved. Risk Score: 31%
L0318,U0142,94849,22653,Business,2025-02-18,pending,Average Risk. Risk Score: 57%. Awaiting review.
L0319,U0121,5789,15873,Education,2025-05-07,approved,Auto-approved. Risk Score: 37%
L0320,U0091,30501,27280,Home,2025-05-18,declined,Auto-declined. Risk Score: 92%
L0321,U0098,13323,25049,Business,2025-04-05,declined,Auto-declined. Risk Score: 90%
L0322,U0108,87683,20100,Medical,2025-01-29,approved,Auto-approved. Risk Score: 23%
L0323,U0136,99924,9507,Car,2025-02-28,declined,Auto-declined. Risk Score: 82%
L0324,U0133,90828,26131,Medical,2025-04-29,declined,Auto-declined. Risk Score: 76%
L0325,U0009,40917,2253,Medical,2025-02-20,approved,Auto-approved. Risk Score: 16%
L0326,U0062,45861,3813,Medical,2025-01-30,approved,Auto-approved. Risk Score: 34%
L0327,U0052,16292,18611,Medical,2025-05-01,approved,Auto-approved. Risk Score: 28%
L0328,U0047,15560,23907,Car,2025-06-30,approved,Auto-approved. Risk Score: 1%
L0329,U0063,83736,6418,Business,2025-04-04,declined,Auto-declined. Risk Score: 82%
L0330,U0080,70557,29878,Education,2025-02-19,pending,Average Risk. Risk Score: 51%. Awaiting review.
L0331,U0086,28950,10089,Home,2025-04-30,declined,Auto-declined. Risk Score: 74%
L0332,U0091,36628,6223,Medical,2025-05-24,declined,Auto-declined. Risk Score: 66%
L0333,U0138,31980,22447,Business,2025-05-21,pending,Average Risk. Risk Score: 53%. Awaiting review.
L0334,U0182,74790,18681,Home,2025-06-18,declined,Auto-declined. Risk Score: 87%
L0335,U0026,82197,10860,Medical,2025-05-18,approved,Auto-approved. Risk Score: 29%
L0336,U0110,78715,2039,Business,2025-05-08,approved,Auto-approved. Risk Score: 23%
L0337,U0132,55043,9801,Education,2025-02-25,pending,Average Risk. Risk Score: 55%. Awaiting review.
L0338,U0178,55136,12899,Education,2025-01-23,declined,Auto-declined. Risk Score: 100%
L0339,U0111,59187,29338,Business,2025-02-22,declined,Auto-declined. Risk Score: 83%
L0340,U0048,97859,19468,Car,2025-02-13,declined,Auto-declined. Risk Score: 86%
L0341,U0012,37182,3975,Medical,2025-02-25,pending,Average Risk. Risk Score: 60%. Awaiting review.
L0342,U0149,30746,26955,Education,2025-01-12,declined,Auto-declined. Risk Score: 96%
L0343,U0071,20175,24532,Business,2025-01-01,declined,Auto-declined. Risk Score: 65%
L0344,U0183,96900,18870,Medical,2025-06-09,approved,Auto-approved. Risk Score: 17%
L0345,U0033,19834,19353,Home,2025-06-08,pending,Average Risk. Risk Score: 53%. Awaiting review.
L0346,U0115,26605,7272,Medical,2025-04-01,pending,Average Risk. Risk Score: 60%. Awaiting review.
L0347,U0185,31441,29053,Medical,2025-01-28,approved,Auto-approved. Risk Score: 29%
L0348,U0067,9032,9678,Home,2025-01-14,declined,Auto-declined. Risk Score: 82%
L0349,U0056,75184,16324,Business,2025-05-15,approved,Auto-approved. Risk Score: 39%
L0350,U0182,83032,4648,Education,2025-01-01,approved,Auto-approved. Risk Score: 23%
L0351,U0086,66326,8579,Home,2025-03-17,declined,Auto-declined. Risk Score: 63%
L0352,U0016,95471,9727,Car,2025-04-24,approved,Auto-approved. Risk Score: 31%
L0353,U0036,59759,15468,Car,2025-01-01,approved,Auto-approved. Risk Score: 38%
L0354,U0040,84457,14475,Education,2025-01-19,pending,Average Risk. Risk Score: 59%. Awaiting review.
L0355,U0131,42260,19598,Business,2025-05-27,pending,Average Risk. Risk Score: 56%. Awaiting review.
L0356,U0118,84377,13305,Medical,2025-06-04,pending,Average Risk. Risk Score: 46%. Awaiting review.
L0357,U0071,93939,18962,Car,2025-06-29,declined,Auto-declined. Risk Score: 81%
L0358,U0065,55760,27783,Business,2025-04-13,approved,Auto-approved. Risk Score: 16%
L0359,U0115,10968,7378,Home,2025-03-07,approved,Auto-approved. Risk Score: 10%
L0360,U0095,67075,18962,Business,2025-01-26,pending,Average Risk. Risk Score: 47%. Awaiting review.
L0361,U0191,51518,7956,Medical,2025-03-21,approved,Auto-approved. Risk Score: 15%
L0362,U0070,6561,27029,Medical,2025-03-21,pending,Average Risk. Risk Score: 53%. Awaiting review.
L0363,U0031,75281,6216,Car,2025-02-22,approved,Auto-approved. Risk Score: 15%
L0364,U0032,42078,18939,Business,2025-03-10,declined,Auto-declined. Risk Score: 98%
L0365,U0164,12455,19047,Education,2025-04-24,approved,Auto-approved. Risk Score: 39%
L0366,U0029,48073,29552,Business,2025-06-09,declined,Auto-declined. Risk Score: 90%
L0367,U0182,21984,13715,Education,2025-02-26,declined,Auto-declined. Risk Score: 73%
L0368,U0081,16386,14147,Business,2025-06-15,declined,Auto-declined. Risk Score: 77%
L0369,U0090,97266,7406,Car,2025-04-09,pending,Average Risk. Risk Score: 50%. Awaiting review.
L0370,U0110,91926,3076,Medical,2025-01-23,declined,Auto-declined. Risk Score: 62%
L0371,U0020,11933,2112,Business,2025-06-12,declined,Auto-declined. Risk Score: 69%
L0372,U0034,67672,8604,Medical,2025-01-28,pending,Average Risk. Risk Score: 41%. Awaiting review.
L0373,U0077,61957,8321,Home,2025-05-07,approved,Auto-approved. Risk Score: 4%
L0374,U0007,89811,17358,Business,2025-05-07,approved,Auto-approved. Risk Score: 9%
L0375,U0032,53357,10212,Education,2025-06-28,pending,Average Risk. Risk Score: 56%. Awaiting review.
L0376,U0080,31670,16291,Medical,2025-05-11,declined,Auto-declined. Risk Score: 100%
L0377,U0029,34454,16986,Home,2025-05-18,approved,Auto-approved. Risk Score: 33%
L0378,U0149,26561,7048,Education,2025-06-12,approved,Auto-approved. Risk Score: 37%
L0379,U0194,9907,22642,Medical,2025-05-12,pending,Average Risk. Risk Score: 48%. Awaiting review.
L0380,U0149,97849,27855,Medical,2025-01-11,approved,Auto-approved. Risk Score: 37%
L0381,U0149,12955,9358,Business,2025-05-11,declined,Auto-declined. Risk Score: 71%
L0382,U0054,9917,4847,Business,2025-02-04,declined,Auto-declined. Risk Score: 62%
L0383,U0118,46324,7425,Education,2025-06-23,pending,Average Risk. Risk Score: 45%. Awaiting review.
L0384,U0077,31425,20864,Home,2025-06-10,approved,Auto-approved. Risk Score: 35%
L0385,U0057,7675,15406,Education,2025-05-13,declined,Auto-declined. Risk Score: 68%
L0386,U0075,66950,24138,Home,2025-02-23,approved,Auto-approved. Risk Score: 25%
L0387,U0173,91773,8902,Car,2025-02-27,declined,Auto-declined. Risk Score: 99%
L0388,U0026,97399,18649,Home,2025-06-14,declined,Auto-declined. Risk Score: 69%
L0389,U0153,66809,28959,Education,2025-04-20,declined,Auto-declined. Risk Score: 94%
L0390,U0103,67519,29594,Home,2025-02-18,pending,Average Risk. Risk Score: 53%. Awaiting review.
L0391,U0160,51154,11334,Medical,2025-02-07,approved,Auto-approved. Risk Score: 7%
L0392,U0070,13201,12177,Car,2025-05-20,declined,Auto-declined. Risk Score: 97%
L0393,U0002,94521,21506,Business,2025-01-31,approved,Auto-approved. Risk Score: 33%
L0394,U0172,21400,9704,Education,2025-06-30,approved,Auto-approved. Risk Score: 14%
L0395,U0143,95970,22178,Home,2025-06-12,declined,Auto-declined. Risk Score: 92%
L0396,U0116,6988,5094,Business,2025-01-25,declined,Auto-declined. Risk Score: 85%
L0397,U0035,12125,5368,Business,2025-04-20,declined,Auto-declined. Risk Score: 69%
L0398,U0013,12073,24347,Car,2025-06-30,declined,Auto-declined. Risk Score: 63%
L0399,U0133,56289,14356,Business,2025-06-22,approved,Auto-approved. Risk Score: 6%
L0400,U0001,31619,14934,Education,2025-04-13,declined,Auto-declined. Risk Score: 71%
L0401,U0083,87706,9321,Car,2025-04-03,declined,Auto-declined. Risk Score: 68%
L0402,U0110,72448,20487,Home,2025-01-13,pending,Average Risk. Risk Score: 49%. Awaiting review.
L0403,U0016,87801,23041,Car,2025-02-17,pending,Average Risk. Risk Score: 48%. Awaiting review.
L0404,U0031,66877,28824,Car,2025-04-22,approved,Auto-approved. Risk Score: 23%
L0405,U0024,77864,5949,Home,2025-04-06,approved,Auto-approved. Risk Score: 6%
L0406,U0098,65486,23645,Medical,2025-02-07,declined,Auto-declined. Risk Score: 84%
L0407,U0045,5200,18201,Medical,2025-04-09,declined,Auto-declined. Risk Score: 96%
L0408,U0111,64142,20571,Education,2025-02-25,declined,Auto-declined. Risk Score: 100%
L0409,U0048,62058,13322,Education,2025-01-08,declined,Auto-declined. Risk Score: 95%
L0410,U0139,50619,21182,Car,2025-02-01,approved,Auto-approved. Risk Score: 7%
L0411,U0178,71502,9460,Medical,2025-03-21,approved,Auto-approved. Risk Score: 21%
L0412,U0010,69813,17819,Medical,2025-03-17,pending,Average Risk. Risk Score: 56%. Awaiting review.
L0413,U0052,39313,16395,Education,2025-06-04,approved,Auto-approved. Risk Score: 13%
L0414,U0110,12000,29809,Car,2025-03-05,approved,Auto-approved. Risk Score: 20%
L0415,U0131,69225,24074,Car,2025-06-10,approved,Auto-approved. Risk Score: 27%
L0416,U0094,10476,22021,Business,2025-04-01,pending,Average Risk. Risk Score: 43%. Awaiting review.
L0417,U0052,96964,27852,Education,2025-06-23,pending,Average Risk. Risk Score: 60%. Awaiting review.
L0418,U0038,20544,18856,Education,2025-02-04,pending,Average Risk. Risk Score: 56%. Awaiting review.
L0419,U0023,78162,18260,Business,2025-03-26,declined,Auto-declined. Risk Score: 69%
L0420,U0121,44448,4708,Medical,2025-05-31,declined,Auto-declined. Risk Score: 93%
L0421,U0165,45999,28880,Education,2025-01-31,approved,Auto-approved. Risk Score: 26%
L0422,U0005,82385,13963,Home,2025-04-08,pending,Average Risk. Risk Score: 49%. Awaiting review.
L0423,U0080,86812,2428,Home,2025-04-06,approved,Auto-approved. Risk Score: 4%
L0424,U0041,28976,23228,Home,2025-03-20,approved,Auto-approved. Risk Score: 24%
L0425,U0056,39191,14274,Business,2025-03-25,approved,Auto-approved. Risk Score: 33%
L0426,U0050,22947,20156,Education,2025-05-28,declined,Auto-declined. Risk Score: 91%
L0427,U0070,76816,28335,Education,2025-04-09,pending,Average Risk. Risk Score: 49%. Awaiting review.
L0428,U0156,83471,8295,Car,2025-06-20,pending,Average Risk. Risk Score: 55%. Awaiting review.
L0429,U0105,72410,28260,Medical,2025-04-24,approved,Auto-approved. Risk Score: 32%
L0430,U0057,8254,10220,Home,2025-03-01,declined,Auto-declined. Risk Score: 72%
L0431,U0112,39790,11515,Home,2025-02-07,pending,Average Risk. Risk Score: 55%. Awaiting review.
L0432,U0102,39150,19326,Business,2025-02-28,approved,Auto-approved. Risk Score: 2%
L0433,U0108,8629,24505,Education,2025-02-08,pending,Average Risk. Risk Score: 60%. Awaiting review.
L0434,U0039,59105,7241,Medical,2025-03-07,pending,Average Risk. Risk Score: 47%. Awaiting review.
L0435,U0032,50737,13148,Business,2025-01-09,declined,Auto-declined. Risk Score: 83%
L0436,U0112,80251,9025,Home,2025-01-28,declined,Auto-declined. Risk Score: 87%
L0437,U0156,42489,26327,Education,2025-05-13,approved,Auto-approved. Risk Score: 14%
L0438,U0189,26959,15093,Medical,2025-05-02,declined,Auto-declined. Risk Score: 100%
L0439,U0103,57151,7717,Education,2025-06-18,pending,Average Risk. Risk Score: 50%. Awaiting review.
L0440,U0030,35248,4594,Medical,2025-04-28,approved,Auto-approved. Risk Score: 2%
L0441,U0045,18460,13946,Home,2025-06-01,approved,Auto-approved. Risk Score: 3%
L0442,U0134,6695,2403,Business,2025-06-02,pending,Average Risk. Risk Score: 51%. Awaiting review.
L0443,U0142,36969,28134,Education,2025-05-13,approved,Auto-approved. Risk Score: 0%
L0444,U0115,74837,24619,Business,2025-02-20,declined,Auto-declined. Risk Score: 62%
L0445,U0041,55295,5319,Home,2025-03-03,approved,Auto-approved. Risk Score: 38%
L0446,U0078,51054,9542,Education,2025-01-25,pending,Average Risk. Risk Score: 47%. Awaiting review.
L0447,U0097,72698,17319,Medical,2025-03-24,approved,Auto-approved. Risk Score: 1%
L0448,U0038,18918,12695,Business,2025-01-12,approved,Auto-approved. Risk Score: 4%
L0449,U0164,85307,8793,Business,2025-02-08,pending,Average Risk. Risk Score: 58%. Awaiting review.
L0450,U0089,53529,12548,Education,2025-02-06,declined,Auto-declined. Risk Score: 97%
L0451,U0109,45322,23360,Education,2025-05-14,approved,Auto-approved. Risk Score: 10%
L0452,U0132,19981,10903,Business,2025-06-26,declined,Auto-declined. Risk Score: 78%
L0453,U0197,88315,27923,Home,2025-02-26,approved,Auto-approved. Risk Score: 3%
L0454,U0125,72313,5995,Education,2025-06-25,pending,Average Risk. Risk Score: 55%. Awaiting review.
L0455,U0008,63759,3297,Business,2025-03-19,declined,Auto-declined. Risk Score: 88%
L0456,U0065,69439,9966,Business,2025-04-12,approved,Auto-approved. Risk Score: 11%
L0457,U0025,37874,9441,Home,2025-02-24,pending,Average Risk. Risk Score: 53%. Awaiting review.
L0458,U0061,75679,25826,Business,2025-06-17,approved,Auto-approved. Risk Score: 4%
L0459,U0025,78167,15763,Home,2025-05-30,approved,Auto-approved. Risk Score: 24%
L0460,U0056,82303,16310,Education,2025-01-04,approved,Auto-approved. Risk Score: 26%
L0461,U0070,74353,11518,Home,2025-01-07,declined,Auto-declined. Risk Score: 92%
L0462,U0128,87625,28730,Car,2025-05-22,approved,Auto-approved. Risk Score: 2%
L0463,U0106,14275,3973,Medical,2025-01-02,pending,Average Risk. Risk Score: 55%. Awaiting review.
L0464,U0134,52685,12488,Home,2025-01-27,declined,Auto-declined. Risk Score: 84%
L0465,U0187,10722,25732,Home,2025-03-02,approved,Auto-approved. Risk Score: 19%
L0466,U0196,74616,21539,Medical,2025-05-19,approved,Auto-approved. Risk Score: 38%
L0467,U0094,92544,2313,Car,2025-05-25,approved,Auto-approved. Risk Score: 4%
L0468,U0098,37905,4069,Business,2025-05-23,approved,Auto-approved. Risk Score: 27%
L0469,U0179,30744,25950,Home,2025-05-22,declined,Auto-declined. Risk Score: 96%
L0470,U0102,13146,3761,Car,2025-06-06,approved,Auto-approved. Risk Score: 38%
L0471,U0171,74113,28003,Education,2025-03-05,pending,Average Risk. Risk Score: 59%. Awaiting review.
L0472,U0064,12984,5143,Medical,2025-06-10,pending,Average Risk. Risk Score: 56%. Awaiting review.
L0473,U0053,72340,10049,Education,2025-01-07,declined,Auto-declined. Risk Score: 98%
L0474,U0047,15282,22969,Medical,2025-01-30,declined,Auto-declined. Risk Score: 88%
L0475,U0108,60086,16797,Business,2025-03-31,declined,Auto-declined. Risk Score: 99%
L0476,U0003,31161,11022,Education,2025-06-09,declined,Auto-declined. Risk Score: 73%
L0477,U0070,62223,27138,Medical,2025-06-09,approved,Auto-approved. Risk Score: 31%
L0478,U0029,82882,13939,Home,2025-04-03,approved,Auto-approved. Risk Score: 21%
L0479,U0099,60913,8342,Car,2025-02-06,approved,Auto-approved. Risk Score: 37%
L0480,U0035,49852,9723,Medical,2025-04-27,pending,Average Risk. Risk Score: 59%. Awaiting review.
L0481,U0017,48124,29269,Education,2025-06-07,approved,Auto-approved. Risk Score: 26%
L0482,U0158,44211,9125,Car,2025-01-31,declined,Auto-declined. Risk Score: 62%
L0483,U0129,46694,6788,Medical,2025-06-26,declined,Auto-declined. Risk Score: 90%
L0484,U0167,40225,17022,Home,2025-02-22,approved,Auto-approved. Risk Score: 37%
L0485,U0154,79496,18661,Business,2025-02-07,approved,Auto-approved. Risk Score: 7%
L0486,U0075,72678,6497,Home,2025-01-14,approved,Auto-approved. Risk Score: 21%
L0487,U0096,66733,9360,Home,2025-03-10,declined,Auto-declined. Risk Score: 98%
L0488,U0156,70670,9579,Car,2025-05-07,pending,Average Risk. Risk Score: 58%. Awaiting review.
L0489,U0133,59473,15882,Business,2025-06-04,approved,Auto-approved. Risk Score: 18%
L0490,U0009,40094,17138,Car,2025-05-03,approved,Auto-approved. Risk Score: 18%
L0491,U0113,65578,19919,Medical,2025-04-13,declined,Auto-declined. Risk Score: 96%
L0492,U0133,5704,5345,Medical,2025-05-17,pending,Average Risk. Risk Score: 56%. Awaiting review.
L0493,U0072,73687,15652,Home,2025-04-28,approved,Auto-approved. Risk Score: 27%
L0494,U0030,62979,4511,Home,2025-03-30,declined,Auto-declined. Risk Score: 74%
L0495,U0108,88839,16618,Car,2025-04-15,declined,Auto-declined. Risk Score: 90%
L0496,U0011,97752,25101,Education,2025-06-30,pending,Average Risk. Risk Score: 58%. Awaiting review.
L0497,U0056,28033,6119,Education,2025-01-04,pending,Average Risk. Risk Score: 48%. Awaiting review.
L0498,U0026,51853,5950,Medical,2025-01-22,approved,Auto-approved. Risk Score: 35%
L0499,U0127,58887,10223,Home,2025-05-25,pending,Average Risk. Risk Score: 45%. Awaiting review.
L0500,U0127,52352,7245,Home,2025-04-02,declined,Auto-declined. Risk Score: 80%
L0501,U0175,9673,17677,Medical,2025-05-24,declined,Auto-declined. Risk Score: 91%
L0502,U0142,10421,13285,Car,2025-05-28,approved,Auto-approved. Risk Score: 28%
L0503,U0007,7746,2438,Home,2025-05-07,declined,Auto-declined. Risk Score: 83%
L0504,U0146,24055,9390,Car,2025-02-28,pending,Average Risk. Risk Score: 53%. Awaiting review.
L0505,U0127,82028,18134,Business,2025-06-07,approved,Auto-approved. Risk Score: 11%
L0506,U0145,58378,19580,Education,2025-05-19,approved,Auto-approved. Risk Score: 34%
L0507,U0056,8480,4002,Car,2025-05-13,declined,Auto-declined. Risk Score: 67%
L0508,U0071,98592,26145,Home,2025-01-29,pending,Average Risk. Risk Score: 57%. Awaiting review.
L0509,U0144,85542,6951,Business,2025-03-20,declined,Auto-declined. Risk Score: 89%
L0510,U0072,69274,24796,Car,2025-04-11,declined,Auto-declined. Risk Score: 86%
L0511,U0154,65328,17518,Business,2025-03-29,approved,Auto-approved. Risk Score: 13%
L0512,U0070,71872,13712,Education,2025-03-09,pending,Average Risk. Risk Score: 51%. Awaiting review.
L0513,U0085,69991,17618,Business,2025-06-04,approved,Auto-approved. Risk Score: 34%
L0514,U0083,18706,26817,Education,2025-02-09,declined,Auto-declined. Risk Score: 73%
L0515,U0016,33586,16081,Home,2025-06-27,declined,Auto-declined. Risk Score: 62%
L0516,U0098,46418,11581,Car,2025-01-11,declined,Auto-declined. Risk Score: 100%
L0517,U0103,33461,27447,Home,2025-04-16,approved,Auto-approved. Risk Score: 8%
L0518,U0002,63594,19155,Medical,2025-05-30,pending,Average Risk. Risk Score: 57%. Awaiting review.
L0519,U0101,5181,5742,Car,2025-01-29,approved,Auto-approved. Risk Score: 10%
L0520,U0147,55599,8508,Business,2025-06-19,declined,Auto-declined. Risk Score: 89%
L0521,U0110,83458,15838,Medical,2025-06-13,approved,Auto-approved. Risk Score: 22%
L0522,U0146,90745,14699,Home,2025-06-23,approved,Auto-approved. Risk Score: 5%
L0523,U0184,77996,24309,Car,2025-02-12,declined,Auto-declined. Risk Score: 63%
L0524,U0068,34694,2996,Home,2025-06-18,approved,Auto-approved. Risk Score: 5%
L0525,U0089,75498,6432,Home,2025-01-09,approved,Auto-approved. Risk Score: 12%
L0526,U0179,83681,19154,Home,2025-02-08,declined,Auto-declined. Risk Score: 79%
L0527,U0138,25177,20636,Medical,2025-01-28,pending,Average Risk. Risk Score: 53%. Awaiting review.
L0528,U0174,58966,11085,Medical,2025-03-16,approved,Auto-approved. Risk Score: 21%
L0529,U0192,39220,12577,Education,2025-02-13,pending,Average Risk. Risk Score: 56%. Awaiting review.
L0530,U0139,73623,25653,Business,2025-06-20,approved,Auto-approved. Risk Score: 37%
L0531,U0028,55263,9554,Medical,2025-05-20,declined,Auto-declined. Risk Score: 95%
L0532,U0168,59004,8560,Home,2025-03-23,pending,Average Risk. Risk Score: 55%. Awaiting review.
L0533,U0158,43208,9167,Medical,2025-06-17,declined,Auto-declined. Risk Score: 61%
L0534,U0176,67349,5048,Business,2025-01-11,declined,Auto-declined. Risk Score: 69%
L0535,U0085,44865,28563,Medical,2025-01-08,declined,Auto-declined. Risk Score: 90%
L0536,U0147,35921,7330,Education,2025-06-30,pending,Average Risk. Risk Score: 49%. Awaiting review.
L0537,U0168,88490,3148,Car,2025-02-15,declined,Auto-declined. Risk Score: 80%
L0538,U0187,45753,19531,Education,2025-02-23,declined,Auto-declined. Risk Score: 67%
L0539,U0154,72818,9571,Home,2025-05-20,approved,Auto-approved. Risk Score: 0%
L0540,U0052,91574,11611,Education,2025-03-09,approved,Auto-approved. Risk Score: 39%
L0541,U0136,59925,21814,Education,2025-05-05,pending,Average Risk. Risk Score: 55%. Awaiting review.
L0542,U0174,50938,7080,Business,2025-04-02,pending,Average Risk. Risk Score: 58%. Awaiting review.
L0543,U0148,37280,9665,Education,2025-01-10,declined,Auto-declined. Risk Score: 73%
L0544,U0115,77677,10764,Business,2025-06-20,approved,Auto-approved. Risk Score: 20%
L0545,U0181,65440,25855,Education,2025-01-05,approved,Auto-approved. Risk Score: 21%
L0546,U0110,25748,11695,Business,2025-01-09,declined,Auto-declined. Risk Score: 82%
L0547,U0183,16122,15645,Home,2025-05-16,declined,Auto-declined. Risk Score: 90%
L0548,U0045,36942,28284,Home,2025-05-07,approved,Auto-approved. Risk Score: 12%
L0549,U0145,8307,27674,Business,2025-05-16,approved,Auto-approved. Risk Score: 12%
L0550,U0180,73495,10452,Medical,2025-03-01,declined,Auto-declined. Risk Score: 62%
L0551,U0083,68087,13872,Medical,2025-02-03,pending,Average Risk. Risk Score: 52%. Awaiting review.
L0552,U0134,94152,10291,Business,2025-06-11,approved,Auto-approved. Risk Score: 30%
L0553,U0050,74655,5307,Medical,2025-04-28,approved,Auto-approved. Risk Score: 13%
L0554,U0060,16219,14464,Car,2025-05-20,approved,Auto-approved. Risk Score: 23%
L0555,U0160,77942,17417,Car,2025-03-16,approved,Auto-approved. Risk Score: 26%
L0556,U0094,39111,28813,Home,2025-05-11,pending,Average Risk. Risk Score: 56%. Awaiting review.
L0557,U0035,44615,24424,Education,2025-01-19,approved,Auto-approved. Risk Score: 30%
L0558,U0134,25113,15311,Education,2025-06-18,pending,Average Risk. Risk Score: 49%. Awaiting review.
L0559,U0109,59073,16012,Home,2025-04-18,approved,Auto-approved. Risk Score: 0%
L0560,U0158,14722,10409,Medical,2025-05-21,approved,Auto-approved. Risk Score: 22%
L0561,U0155,63883,7088,Medical,2025-06-15,pending,Average Risk. Risk Score: 53%. Awaiting review.
L0562,U0027,65028,19064,Education,2025-04-30,approved,Auto-approved. Risk Score: 11%
L0563,U0119,95856,27268,Medical,2025-02-17,approved,Auto-approved. Risk Score: 5%
L0564,U0187,9900,17724,Education,2025-02-01,approved,Auto-approved. Risk Score: 22%
L0565,U0015,29715,22884,Business,2025-05-09,pending,Average Risk. Risk Score: 48%. Awaiting review.
L0566,U0196,20800,29973,Car,2025-02-01,declined,Auto-declined. Risk Score: 94%
L0567,U0047,24140,14953,Business,2025-03-31,approved,Auto-approved. Risk Score: 21%
L0568,U0198,47010,5912,Business,2025-01-31,declined,Auto-declined. Risk Score: 89%
L0569,U0200,73689,22578,Home,2025-03-26,approved,Auto-approved. Risk Score: 34%
L0570,U0090,60663,17453,Home,2025-06-16,pending,Average Risk. Risk Score: 50%. Awaiting review.
L0571,U0151,42103,28375,Home,2025-04-16,declined,Auto-declined. Risk Score: 74%
L0572,U0152,52510,5418,Education,2025-02-01,pending,Average Risk. Risk Score: 48%. Awaiting review.
L0573,U0173,86462,11299,Education,2025-04-29,declined,Auto-declined. Risk Score: 74%
L0574,U0172,92477,2097,Business,2025-01-02,pending,Average Risk. Risk Score: 56%. Awaiting review.
L0575,U0097,53296,20576,Home,2025-02-22,declined,Auto-declined. Risk Score: 89%
L0576,U0109,62859,19110,Car,2025-06-04,approved,Auto-approved. Risk Score: 38%
L0577,U0143,46382,26300,Medical,2025-01-01,pending,Average Risk. Risk Score: 48%. Awaiting review.
L0578,U0032,32553,5095,Medical,2025-06-25,declined,Auto-declined. Risk Score: 66%
L0579,U0058,10855,18403,Medical,2025-01-22,declined,Auto-declined. Risk Score: 62%
L0580,U0131,9023,18273,Home,2025-01-13,approved,Auto-approved. Risk Score: 28%
L0581,U0170,14415,23212,Medical,2025-05-21,pending,Average Risk. Risk Score: 51%. Awaiting review.
L0582,U0197,55014,20929,Medical,2025-03-09,declined,Auto-declined. Risk Score: 99%
L0583,U0106,79433,18283,Car,2025-05-27,declined,Auto-declined. Risk Score: 67%
L0584,U0148,81214,20205,Business,2025-01-10,pending,Average Risk. Risk Score: 43%. Awaiting review.
L0585,U0178,62867,23502,Business,2025-01-11,declined,Auto-declined. Risk Score: 61%
L0586,U0091,72883,21825,Business,2025-01-12,approved,Auto-approved. Risk Score: 15%
L0587,U0050,35292,18355,Business,2025-03-19,declined,Auto-declined. Risk Score: 100%
L0588,U0067,57149,12395,Car,2025-04-10,declined,Auto-declined. Risk Score: 63%
L0589,U0056,60393,21680,Car,2025-02-12,approved,Auto-approved. Risk Score: 4%
L0590,U0009,55796,6090,Education,2025-05-28,approved,Auto-approved. Risk Score: 39%
L0591,U0069,97708,13826,Education,2025-06-01,pending,Average Risk. Risk Score: 57%. Awaiting review.
L0592,U0092,14003,8436,Education,2025-02-27,approved,Auto-approved. Risk Score: 9%
L0593,U0107,61375,15909,Medical,2025-03-15,declined,Auto-declined. Risk Score: 81%
L0594,U0156,49008,27834,Business,2025-02-10,declined,Auto-declined. Risk Score: 82%
L0595,U0051,15833,23674,Home,2025-01-09,approved,Auto-approved. Risk Score: 8%
L0596,U0152,95964,14378,Medical,2025-01-29,declined,Auto-declined. Risk Score: 93%
L0597,U0154,84847,8766,Business,2025-04-04,pending,Average Risk. Risk Score: 51%. Awaiting review.
L0598,U0034,30326,16400,Home,2025-01-28,declined,Auto-declined. Risk Score: 80%
L0599,U0186,50666,11516,Education,2025-05-24,approved,Auto-approved. Risk Score: 5%
L0600,U0091,98091,8349,Home,2025-02-17,pending,Average Risk. Risk Score: 56%. Awaiting review.
L0601,U0086,49129,22967,Car,2025-01-23,approved,Auto-approved. Risk Score: 31%
L0602,U0152,32000,5405,Education,2025-04-13,approved,Auto-approved. Risk Score: 8%
L0603,U0043,29675,28817,Home,2025-05-26,declined,Auto-declined. Risk Score: 85%
L0604,U0105,10490,28972,Home,2025-05-23,pending,Average Risk. Risk Score: 43%. Awaiting review.
L0605,U0131,22325,28044,Business,2025-06-11,pending,Average Risk. Risk Score: 44%. Awaiting review.
L0606,U0140,64474,21185,Medical,2025-04-09,declined,Auto-declined. Risk Score: 80%
L0607,U0115,23296,28850,Home,2025-03-05,pending,Average Risk. Risk Score: 41%. Awaiting review.
L0608,U0035,66497,23429,Education,2025-01-07,declined,Auto-declined. Risk Score: 74%
L0609,U0039,73985,11010,Home,2025-04-16,pending,Average Risk. Risk Score: 60%. Awaiting review.
L0610,U0164,55526,10664,Education,2025-05-31,approved,Auto-approved. Risk Score: 33%
